Ontology,% of Matched Concepts,Unmatched Concepts
Ontology 1,32.53012048192771,"['Aquatic Fungi', 'Heterotrophs', 'Microbial Functional Guild', 'Rare Microbial Species', 'Organic Matter', 'Nutrient Cycling', 'Extreme Conditions', 'Autotrophic Processes', 'Autolithoantatrophy', 'Biogeochemical Cycling', 'Trophic Relationships', 'Species Richness', 'RareSpecies', 'Sulfate Reducing Microbes', 'Metal Reducing Microbes', 'Autotrophic Microbes', 'Heterotrophic Microbes', 'Cation Concentration', 'Hypoxic Conditions', 'Karst Aquifer', 'Iron Reducing Microbes', 'Nitrogen Fixing Microbes', 'Anoxic Conditions', 'Microaerophilic Conditions', 'Heterotrophic Decomposers', 'Autotrophic Carbon Fixers', 'Environmental Conditions', 'Aquifer Abiotic Factors', 'Water Temperature', 'Organic Carbon Content', 'Denitrifying Microbes', 'Sulfur Oxidizing Bacteria', 'Ammonia  Oxidizing Bacteria', 'Anaerobic Methanogens', 'Aerobic Methanotrophs', 'Carbon Cycle', 'Nitrogen Cycle', 'Sulfur Cycle', 'Phosphorus Cycle', 'Methane Cycle', 'Geobacter sulfureducens', 'Desulfovibrio desulfuricans', 'Aspergillus fumigatus', 'Penicillium chrysogenum', 'Thiobacillus denitrificans', 'Gallionella ferruginea', 'Sulfate-Reducing Guild', 'Nitrogen-Fixing Guild', 'Iron-Oxidizing Guild', 'Low pH', 'Secondary Consumers', 'Tertiary Consumers', 'Carbon Fixation', 'Organic Matter Decomposition', 'Sulfate Reduction', 'Metal Reduction']"
Ontology 2,89.1566265060241,"['Extreme Conditions', 'Autotrophic Processes', 'Trophic Relationships', 'Species Richness', 'RareSpecies', 'Autotrophic Carbon Fixers', 'Gallionella ferruginea', 'Secondary Consumers', 'Tertiary Consumers']"
Ontology 3,90.36144578313252,"['Extreme Conditions', 'Autotrophic Processes', 'Trophic Relationships', 'Species Richness', 'RareSpecies', 'Autotrophic Carbon Fixers', 'Secondary Consumers', 'Tertiary Consumers']"
